sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKExternalUUID,HKWeatherTemperature,HKTimeZone,HKWeatherHumidity,HKElevationAscended,HKIndoorWorkout,HKAverageMETs
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-24 14:18:23 +0000,2017-07-24 14:48:31 +0000,Running,1807.999,sec,591.368 kcal,5811.54 m,,,FD6CF635-5B61-4A84-9B8A-432B1BE0A628,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-25 14:09:28 +0000,2017-07-25 14:39:39 +0000,Running,1810.999,sec,634.806 kcal,6221.44 m,,,D5837E95-69B3-473A-9ABC-8B1D7201BE12,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-28 14:20:23 +0000,2017-07-28 14:50:33 +0000,Running,1809.999,sec,638.975 kcal,6270.67 m,,,F67C771C-3A78-44D6-9229-D3586623F8E9,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-31 13:48:45 +0000,2017-07-31 14:13:34 +0000,Running,1488.999,sec,509.424 kcal,5023.54 m,,,A34D7F80-F611-4C0E-A000-0C56789ACDA7,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-08-01 13:54:09 +0000,2017-08-01 14:24:19 +0000,Running,1809.999,sec,631.174 kcal,6190.32 m,,,73C871C0-7E9E-44A0-93F4-6CF5DA8D9345,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-08-03 13:55:19 +0000,2017-08-03 14:25:28 +0000,Running,1808.999,sec,634.664 kcal,6244.2 m,,,DF673149-26C4-4E88-81EC-92276CE9CA14,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1722,"iPhone8,1",,2017-08-05 14:51:56 +0000,2017-08-05 15:22:24 +0000,Running,1827.999,sec,658.805 kcal,6464.47 m,,,6511EB26-BD1C-43F9-A6E0-761778117DE1,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1724,"iPhone8,1",,2017-08-09 13:45:50 +0000,2017-08-09 14:15:58 +0000,Running,1807.999,sec,619.818 kcal,6098.51 m,,,CDC7454D-5C3E-4B89-97D3-93E8FB2D2C1F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1724,"iPhone8,1",,2017-08-11 14:05:11 +0000,2017-08-11 14:35:21 +0000,Running,1809.999,sec,591.602 kcal,5786.44 m,,,C05ACB48-FB0D-40DA-87FB-00407DF81CE7,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1724,"iPhone8,1",,2017-08-15 13:37:00 +0000,2017-08-15 14:10:01 +0000,Running,1980.999,sec,656.879 kcal,6501.78 m,,,C152787C-7DBC-4AEA-86DC-5A3CF5FF9DD0,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1815,"iPhone8,1",,2017-09-16 12:25:21 +0000,2017-09-16 13:10:04 +0000,Running,2682.999,sec,717.382 kcal,7342.9 m,,,3F42E4EE-9DAD-4210-9403-85D208E54C98,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-09-24 12:47:21 +0000,2017-09-24 13:24:23 +0000,Running,2221.999,sec,668.488 kcal,6644.16 m,,,EE6BE035-6DD6-4C65-A7C4-CB4D766A5923,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-09-26 10:44:08 +0000,2017-09-26 11:14:17 +0000,Running,1808.999,sec,592.296 kcal,5744.26 m,,,5CD13265-3515-4B95-80D9-9BCF0AC21930,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-09-30 13:22:26 +0000,2017-09-30 13:53:34 +0000,Running,1867.999,sec,621.38 kcal,6090.86 m,,,35C3C2D8-D756-4C6B-A934-813345361268,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-10-03 10:54:39 +0000,2017-10-03 11:25:14 +0000,Running,1834.999,sec,622.258 kcal,6031.7 m,,,F7CBBF48-C7C0-492E-B68E-59D22C0025A2,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-10-07 12:15:12 +0000,2017-10-07 12:54:36 +0000,Running,2363.999,sec,739.045 kcal,7268.41 m,,,611CCF9E-A65F-4654-8272-C3485B2BCC9C,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-10-08 12:34:02 +0000,2017-10-08 13:04:11 +0000,Running,1808.999,sec,625.637 kcal,6039.16 m,,,EB9310B3-E642-4BFB-84B0-20AB9876BDC6,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-10-09 12:01:19 +0000,2017-10-09 12:53:54 +0000,Running,3154.999,sec,1022.04 kcal,9875.2 m,,,D7B99DA2-66B6-4BEB-92DD-98F4F923CE58,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1831,"iPhone8,1",,2017-10-10 11:36:29 +0000,2017-10-10 12:06:39 +0000,Running,1809.999,sec,599.491 kcal,5839.1 m,,,CF29B48E-ADB7-4CF0-92C6-6A21DBAABD10,,,,,,
